head,relation,tail
C0373587,is a,C0682906
C0373587,is essential for,C0014442
C0373587,is used in,C0404094
C0373587,is absorbed via,C0962796
C0373587,is absorbed via,C0962796
C0373587,is absorbed via,C1420089
C0373587,is bound to,C0962796
C1412627,shuttles,C1412688
C1412688,is located on,C3896479
C0373587,is bound by,C0373573
C0373587,is bound by,C0857541
C0373587,is bound by,C1412046
C0373587,is incorporated into,C0014440
C4050211,reduces,C5670367
C0373587,is approved for,C1171186
C0373587,has been approved since,C0456588
C0373587,is classified as part of,C0282575
C0373587,is classified as part of,C0524146
C0373587,is classified as part of,C0025552
C0373587,is classified as part of,C2945766
C0373587,is classified as part of,C1521739
C0373587,is classified as part of,C0205463
C0373587,is classified as part of,C0005329
C0373587,is classified as part of,C1812630
C0373587,is classified as part of,C0013879
C0373587,is classified as part of,C0016452
C0184633,is,C0202292
C0184633,is used in,C1737722
C1737722,treats,C0013990
C1737722,treats,C0032285
C1737722,treats,C0742744
C0184633,increases,C0374388
C0184633,decreases,C1999075
C0184633,is introduced under,C0681779
C0184633,is introduced under,C0021268
C0184633,binds to,C0008721
C0184633,improves,C0842271
C0184633,affects,C1284821
C0242706,is,C1278440
C0184633,has a molecular weight of,C2711872
C0184633,is part of,C0206763
C0184633,is part of,C0017110
C0184633,is approved and,C0205540
C0993959,is a,C0443077
C0993959,marketed as,C0718284
C0993959,marketed as,C0721979
C0993959,used for,C1742716
C0993959,activates,C1841967
C0993959,binds to,C0373730
C0993959,involves,C0103404
C0443077,suppress,C1305754
C1305754,is affected by,C1284831
C0443077,reduce,C0850992
C0443077,reduce,C0009498
C0443077,precipitate,C0024312
C0443077,interfere with,C1148575
C0993959,administered as,C0993596
C0993959,administered as,C1273001
C0993959,reduces,C0748413
C0993959,reduces,C5848077
C0993959,reduces,C4554643
C0993959,reduces,C4553657
C0993959,reduces,C2032140
C0993959,belongs to,C4521954
C0993959,belongs to,C0740851
C0993959,belongs to,C0282556
C0993959,belongs to,C1373012
C0993959,belongs to,C0443077
C0360534,is a type of,C0744425
C0360534,is used for,C0033774
C0360534,binds to,C0034795
C0360534,is approved for use in,C0587579
C0360534,belongs to,C4521954
C0360534,belongs to,C1373012
C0360534,belongs to,C0443077
C0360534,is indicated for,C0011615
C0360534,is indicated for,C0011616
C0360534,is used to treat,C0475858
C0360534,is a solid at,C0456911
C0065865,is a,C4050091
C0065865,treats,C0339164
C0065865,treats,C0009763
C0065865,treats,C0014583
C0065865,treats,C1372321
C0065865,induces,C1152581
C1152581,regulate,C0243042
C0065865,inhibits,C0013604
C0065865,inhibits,C0333565
C0065865,inhibits,C0031308
C0065865,inhibits,C0332975
C0065865,inhibits,C3686827
C0065865,belongs to,C4521954
C0065865,belongs to,C1373012
C0065865,belongs to,C0443077
C0065865,has a molecular weight of,C3639999
C0065865,is approved for use in,C1273853
C0724587,is a type of,C0744425
C0724587,is employed as,C0015399
C0724587,treats,C1622731
C0724587,targets,C1321533
C0724587,targets,C0010031
C0724587,is used in the treatment of,C0037274
C0724587,induces,C1152581
C1152581,are collectively called,C0103404
C0103404,control the biosynthesis of,C0033555
C0103404,control the biosynthesis of,C0520496
C0520496,are derived from,C0299417
C1841967,binds to,C0162326
C0724587,belongs to the category of,C0443077
C0724587,is,C1706842
C0724587,is,C4688482
C0795584,is a,C0596387
C0795584,is a prodrug of,C0081729
C0795584,is structurally similar to,C0004906
C0795584,is available in formulations for,C0991535
C0795584,is available in formulations for,C1522019
C0795584,is available in formulations for,C0332237
C0795584,is useful in treating,C1272273
C0795584,is useful in treating,C0011627
C0795584,works by attenuating,C0749224
C0795584,suppresses the actions of,C0302158
C0795584,has approval status,C3540763
C0750848,is a,C3653474
