head,relation,tail
C3495801,ppi,C0263313
C0524662,ppi,C0020097
C0341503,ppi,C0040963
C0023343,ppi,C0020097
C0456498,ppi,C0270075
C0018802,ppi,C1260327
C0014057,ppi,C0030409
C0018013,ppi,C0018991
C0030579,ppi,C0030583
C0039984,ppi,C0040196
C0040136,ppi,C0014078
C0021359,ppi,C1412016
C0042138,ppi,C0020097
C0020097,ppi,C0243010
C0004030,ppi,C0238117
C0020097,ppi,C0032064
C0020097,ppi,C0268542
C0020097,ppi,C4521004
C0027583,ppi,C0497549
C0020097,ppi,C0035460
C0009404,ppi,C0013884
C0013884,ppi,C0020097
C0041333,ppi,C0014078
C0017677,ppi,C0042580
C1510489,ppi,C0005779
C0017612,ppi,C0004030
C0036231,ppi,C0036285
C0040560,ppi,C0038358
C0020097,ppi,C0026393
C0023465,ppi,C0023467
C0020097,ppi,C0206629
C0013570,ppi,C0010232
C0496842,ppi,C0029471
C3544321,ppi,C0242994
C0341503,ppi,C0002831
C1861172,ppi,C0014078
C0270707,ppi,C0024788
C0006111,ppi,C0456498
C0221290,ppi,C0345958
C0021359,ppi,C0456498
C0346109,ppi,C0002892
C0011615,ppi,C3544321
C0013882,ppi,C0020428
C0206180,ppi,C3544321
C0006309,ppi,C3887926
C3495801,ppi,C0027583
C0009319,ppi,C0041333
C3544321,ppi,C0282616
C0341503,ppi,C0270707
C0032285,ppi,C0031306
C0014057,ppi,C0040584
C0029002,ppi,C0270891
C0242647,ppi,C0008441
C0917801,ppi,C1533217
C0085166,ppi,C0040963
C0020097,ppi,C0029002
C0276357,ppi,C0020097
C0035579,ppi,C0206706
C0008441,ppi,C0023860
C0006118,ppi,C0393665
C0035869,ppi,C0017668
C1879321,ppi,C0020097
C0278883,ppi,C0020413
C0393665,ppi,C0206651
C0206634,ppi,C0020097
C0030470,ppi,C0020097
C2239176,ppi,C0020097
C0030470,ppi,C0005426
C0153405,ppi,C0496842
C1292769,ppi,C0040136
C0085166,ppi,C0154830
C1269683,ppi,C0023896
C0162872,ppi,C0020097
C0003872,ppi,C0677607
C0042510,ppi,C0014057
C0270736,ppi,C0010073
C0496842,ppi,C0014078
C0030805,ppi,C0020097
C1336052,ppi,C0032310
C0027583,ppi,C0029134
C0026640,ppi,C0014117
C0024622,ppi,C0020097
C0341503,ppi,C0206716
C0001816,ppi,C3278302
C3544321,ppi,C1851377
C0003469,ppi,C0751774
C0524662,ppi,C0026552
C0020097,ppi,C0270891
C0006309,ppi,C0751583
C0221290,ppi,C0005779
C5680987,ppi,C0041315
C0014556,ppi,C4551681
C0004030,ppi,C4521004
C0014009,ppi,C0014078
C0302314,ppi,C0205698
C0155015,ppi,C0020097
C0242994,ppi,C1328479
C0007112,ppi,C0035460
C0341503,ppi,C0238196
C0221290,ppi,C0004030
C0264797,ppi,C0027583
C0002171,ppi,C0023241
C0041312,ppi,C0020097
C1336052,ppi,C0020097
C0206700,ppi,C0029401
C0238117,ppi,C0037650
C0040136,ppi,C0269047
C0205645,ppi,C0035455
C0033860,ppi,C0029291
C1335177,ppi,C0496842
C0085253,ppi,C4520981
C0152021,ppi,C0496842
C0020514,ppi,C0270707
C4722518,ppi,C1510489
C0016034,ppi,C0040196
C0476254,ppi,C0151864
C0496842,ppi,C0003469
C0019360,ppi,C1328479
C0024530,ppi,C0040196
C0206681,ppi,C0020097
C0220621,ppi,C0020097
C0007124,ppi,C3544321
C0020097,ppi,C0236099
C0020097,ppi,C0024286
C0243025,ppi,C0020097
C0014077,ppi,C0006309
C3714644,ppi,C0010034
C1334801,ppi,C0205645
C0032131,ppi,C0020097
C0007112,ppi,C0041333
C0162534,ppi,C0014014
C0496842,ppi,C0153626
C4021976,ppi,C0041325
C0220621,ppi,C1260326
C0003614,ppi,C1260326
C0009770,ppi,C0041315
C0003460,ppi,C0242490
