C5848153	parent-child	C0584823
C0861854	parent-child	C0861861
C0038437	parent-child	C0376356
C0037231	expression present	C0280324
C0242350	associated with	C0030579
C4708600	expression present	C0026848
C0080024	parent-child	C0162835
C0029471	expression present	C0265292
C3266843	expression present	C0024225
C4015474	parent-child	C0039082
C0017409	contraindication	C0020295
C0015773	expression present	C0014078
C1856052	parent-child	C3808977
C0009714	expression present	C0001519
C0035334	parent-child	C1266131
C0043167	interacts with	C0017536
C0268353	parent-child	C0012714
C0033949	parent-child	C0334608
C0027830	parent-child	C0334599
C0206651	expression present	C0022541
C0242350	expression present	C0282207
C1145628	interacts with	C0280333
C4518785	parent-child	C1836307
C0684249	associated with	C0878486
C1334801	associated with	C0205875
C3150875	parent-child	C1970479
C0019159	parent-child	C0031887
C0346255	parent-child	C0879606
C0003615	synergistic interaction	C0026780
C0040558	expression present	C0796160
C0264882	expression present	C0342907
C0399378	expression present	C0018013
C0155561	synergistic interaction	C0003949
C0497552	parent-child	C5437630
C0497552	parent-child	C3810406
C1859385	contraindication	C0032285
C1333472	parent-child	C0153477
C0037118	contraindication	C3805116
C0034040	parent-child	C0034041
C1332186	parent-child	C0238029
C0033860	synergistic interaction	C0262643
C5979990	parent-child	C0206738
C1274879	parent-child	C2931658
C0025235	parent-child	C0155671
C0004943	expression present	C2909036
C0428791	expression present	C1302995
C0861859	parent-child	C1519321
C0342712	parent-child	C3554078
C0026705	expression present	C1335302
C1266005	parent-child	C0280470
C1861302	parent-child	C0019247
C4749291	parent-child	C0152208
C0041325	ppi	C0004936
C0007820	contraindication	C0031350
C0345963	parent-child	C1333065
C0017563	parent-child	C0239737
C0035585	parent-child	C4014479
C1334920	parent-child	C5681494
C0032584	expression present	C0796160
C0027932	expression present	C3266843
C1291230	associated with	C0004610
C0019247	parent-child	C1848649
C0869532	expression present	C1857663
C1710499	parent-child	C4512053
C0022541	expression present	C0153606
C0023472	parent-child	C0279543
C0206658	parent-child	C0282606
C3203653	parent-child	C5569008
C0085692	parent-child	C0010692
C3554004	parent-child	C0877024
C0021053	synergistic interaction	C0497552
C0023787	parent-child	C0025517
C0162872	interacts with	C0033949
C0019077	parent-child	C0014527
C0033949	interacts with	C0036114
C0010631	interacts with	C0040149
C0037231	expression present	C0029002
C1334920	interacts with	C0009404
C0032987	synergistic interaction	C0026769
