C0040156	synergistic interaction	C0002881
C0036474	synergistic interaction	C1135868
C1850626	parent-child	C1851708
C1302995	expression present	C0029471
C0206681	interacts with	C0346054
C0024116	parent-child	C2350529
C1862084	HAS_PHENOTYPE	C1408258
C0409818	parent-child	C1833561
C0155336	parent-child	C0014877
C1302995	expression present	C0005716
C0025312	interacts with	C0004576
C0007361	indication	C0154199
C0154199	synergistic interaction	C0156264
C1260327	expression present	C0221348
C1266144	expression present	C0020072
C1453956	INVOLVED_IN	C1156801
C0030491	associated with	C4551993
C4024889	HAS_PHENOTYPE	C0000912
C1833213	expression present	C1834724
C0443077	ASSOCIATED_WITH	C0024312
C0346175	indication	C0175999
C2931422	expression present	C0011269
C0019247	parent-child	C1414893
C4015261	parent-child	C0011849
C1299238	parent-child	C0302592
C1274834	contraindication	C4025822
C0233844	ASSOCIATED_WITH	C0427140
C1535926	interacts with	C1332936
C4305077	parent-child	C0037231
C4476818	HAS_PHENOTYPE	C0521324
C0020514	ppi	C2237660
C0006111	parent-child	C0266484
C0497552	parent-child	C1862682
C4551993	expression present	C4708600
C0086588	synergistic interaction	C0007787
C1333024	parent-child	C0344516
C1845068	parent-child	C0032453
C0038358	synergistic interaction	C0035021
C0005779	synergistic interaction	C0034494
C4551993	associated with	C0012715
C0265308	associated with	C0751583
C0153364	expression present	C0001627
C0009714	expression present	C0029888
C0032000	parent-child	C0001433
C0723460	IS_A	C0474035
C1291607	parent-child	C0019247
C2673923	parent-child	C0272242
C1170565	IS_A	C3653763
C0035436	synergistic interaction	C0154073
C1881879	PREVENTS	C0839593
C1291373	parent-child	C1856718
C0600139	associated with	C0006285
C5681720	parent-child	C4305375
C0029182	synergistic interaction	C0029899
C3469186	associated with	C4274424
C1264610	interacts with	C0004936
C4708600	expression present	C0080178
C0346175	associated with	C3544321
C0029106	expression present	C0026705
C0242994	ppi	C0004030
C3887645	parent-child	C4722305
C3839574	phenotype present	C0030567
C1333000	parent-child	C0343206
C0026705	expression present	C0020538
C1510472	synergistic interaction	C0036220
C0149649	synergistic interaction	C0032310
C5681844	interacts with	C1704272
C0030579	associated with	C0154466
C4225396	expression present	C0376175
C1265996	expression present	C0028860
C0043459	expression present	C0007120
C0020224	synergistic interaction	C0029888
C0002395	phenotype present	C2748504
C0037050	parent-child	C0206733
C5681265	parent-child	C1856892
C1333405	parent-child	C1266042
C4551504	parent-child	C0917890
C4086228	ASSOCIATED_WITH	C0280242
C0043395	expression present	C0009770
C0004153	synergistic interaction	C0154073
C0022548	interacts with	C0280333
C0030578	ppi	C0007117
C0033581	synergistic interaction	C0018801
C0040149	interacts with	C0035579
C2922257	ASSOCIATED_WITH	C0498345
C1531608	ppi	C0027583
C1861556	ASSOCIATED_WITH	C0582175
C1857663	expression present	C0206634
C0000833	expression present	C0432487
C0699889	contraindication	C0040021
C3714644	associated with	C5680290
C1744619	TREATS	C0036472
C0265492	expression present	C0432269
C1514197	ASSOCIATED_WITH	C3463824
C0020538	expression present	C2676770
C0155765	parent-child	C0267211
C0206685	expression present	C2931422
C1422076	HAS_PHENOTYPE	C4021643
C0153467	parent-child	C0346867
C0029471	expression present	C4708600
C0158667	MANIFESTATION_OF	C0344509
C2675897	interacts with	C2239176
C1857298	parent-child	C0019247
C0030809	expression present	C2931422
C0021099	parent-child	C0034212
C0015773	expression present	C1334801
C0041327	synergistic interaction	C0036285
C2064409	parent-child	C0750952
C3865330	TARGETS	C0752312
C0027059	expression present	C2136733
C0343094	parent-child	C5680891
C0349515	expression present	C0399378
C1861305	ASSOCIATED_WITH	C0588368
C0023801	parent-child	C0023804
C2243086	associated with	C0019338
C0238190	expression present	C4708600
C0673470	INTERACTS_WITH	C1332826
C0017919	TREATS	C0012155
C0040553	expression present	C0037231
C2909036	expression present	C0024534
C1857663	expression present	C0026269
C0152087	synergistic interaction	C0041471
C0009714	expression present	C0276357
C0042929	expression present	C0043459
C0334271	parent-child	C1335752
C0030705	ASSOCIATED_WITH	C0748577
C0026998	parent-child	C0349680
C4274494	parent-child	C1860596
C3265467	ASSOCIATED_WITH	C0242953
C1969106	parent-child	C0042075
C5561942	CAUSES	C3826480
C0729584	synergistic interaction	C0036474
C0346328	parent-child	C1843225
C0206623	parent-child	C1377914
C0270736	expression present	C0282207
C0497552	parent-child	C1839543
C3151205	parent-child	C2986703
C1332120	ASSOCIATED_WITH	C1517598
C0023290	expression present	C0043346
C5680525	parent-child	C0035934
C0029002	interacts with	C0206725
C0263316	expression present	C2936741
C4310745	parent-child	C0162834
C3888103	ASSOCIATED_WITH	C0000768
C0014009	expression present	C0399378
C4748137	HAS_PHENOTYPE	C0014544
C0016202	contraindication	C0236969
C0043167	interacts with	C0085541
C0032046	expression present	C0009714
C0162739	ppi	C0041333
C0349575	parent-child	C0155388
C0035204	synergistic interaction	C0393814
C0040558	expression present	C0009714
C1136085	associated with	C2675459
C4225503	parent-child	C3151406
C0086692	interacts with	C0003872
C2909036	expression present	C0033804
C0449450	ASSOCIATED_WITH	C0393735
C0042842	synergistic interaction	C0023448
C1970013	parent-child	C5680525
C0027583	expression present	C2909036
C0018923	parent-child	C1336530
C1832244	parent-child	C0339085
C0345960	parent-child	C3812899
C0282207	expression present	C0037974
C1292754	parent-child	C4304411
C0019064	expression present	C0022577
C2239176	associated with	C0175692
C0028735	IS_A	C2347227
C0152945	indication	C0154199
C0023343	synergistic interaction	C0023798
C4543153	AFFECTS	C1519956
C0042900	interacts with	C1299237
C0677776	associated with	C0030583
C1851710	parent-child	C0432252
C1135196	off-label use	C0035204
C5442005	expression present	C0270891
C2239176	associated with	C3810403
C0751882	expression present	C0035579
C5681108	parent-child	C0027672
C0600526	TREATS	C0497330
C0000774	parent-child	C0271633
C0024205	parent-child	C0149642
C0007112	interacts with	C0018378
C0024419	expression present	C3266843
C0042523	ASSOCIATED_WITH	C0877281
C0347213	parent-child	C0345617
C1861515	parent-child	C5925108
C0011269	expression present	C2936741
C3898565	INHIBITS	C0108768
C0018802	expression present	C2909036
C0700345	expression present	C0221348
C0272309	parent-child	C0019247
C1332232	interacts with	C0009324
C1335167	associated with	C0011860
C4706258	synergistic interaction	C0042870
C3544321	associated with	C0553580
C5567486	parent-child	C1704981
C0264303	interacts with	C1335503
C0030579	associated with	C0334587
C5680014	parent-child	C4749332
C0175999	synergistic interaction	C0029291
C2676770	expression present	C0878544
C0476089	contraindication	C1510472
C5783064	ASSOCIATED_WITH	C0456693
C0524050	ASSOCIATED_WITH	C0851989
C0006413	expression present	C0796160
C0043395	expression present	C0153626
C5436683	parent-child	C0238052
C4225318	parent-child	C1968847
C0700345	interacts with	C0020179
C0004779	expression present	C0948752
C1334920	parent-child	C1332492
C0023290	expression present	C2931422
C0238143	HAS_PHENOTYPE	C0232883
C0033581	synergistic interaction	C0028790
C0349557	synergistic interaction	C0016202
C0205698	expression present	C0004779
C0346153	associated with	C0007112
C3810343	parent-child	C0027794
C2909036	expression present	C0019159
C1956346	contraindication	C0729584
C1518711	parent-child	C1510778
C0032285	synergistic interaction	C0149881
C0685838	expression present	C0027962
C4048549	parent-child	C0334524
C0022541	expression present	C0242216
C0155616	contraindication	C0033845
C5551485	parent-child	C1708397
C0022739	parent-child	C0268335
C0206245	HAS_PHENOTYPE	C0011560
C0154073	synergistic interaction	C0030920
C5402463	ASSOCIATED_WITH	C2936588
C2267227	ppi	C0040479
C1851347	ASSOCIATED_WITH	C0596612
C0019337	interacts with	C0036421
C0549651	expression present	C0265492
C0013182	expression present	C0020072
C5680381	parent-child	C0022658
C0041408	parent-child	C0242526
C1833997	ASSOCIATED_WITH	C0458083
C5679666	parent-child	C5437630
C0265227	associated with	C0334266
C1838656	GENETIC_ASSOCIATION_WITH	C1454029
C1266177	expression present	C0685838
C5774286	HAS_PHENOTYPE	C1825021
C0037231	expression present	C0038034
C4748540	parent-child	C1864041
C1334649	parent-child	C1334678
C0202319	ASSOCIATED_WITH	C0344315
C0154073	target	C0751690
C0013069	parent-child	C1956410
C0036220	associated with	C0278701
C5680372	parent-child	C4750789
C0993938	PREVENTS	C0012924
C3266843	expression present	C0220754
C0026265	expression present	C4721555
C0022577	expression present	C0032371
C0017668	expression present	C2676770
C0023510	parent-child	C0023530
C1415963	ASSOCIATED_WITH	C1428074
C0019337	expression present	C0043395
C4708600	expression present	C0018799
C0280333	interacts with	C0004114
C0036341	phenotype present	C4275006
C0007115	synergistic interaction	C0042842
C0281420	IS_A	C0040845
C0496842	interacts with	C1334946
C5680372	parent-child	C4014545
C0030705	HAS_PHENOTYPE	C0026848
C0003469	expression present	C2676770
C0206754	synergistic interaction	C0033581
C1876214	ppi	C0041971
C3809278	parent-child	C0238111
C2748557	parent-child	C4303571
C1275078	associated with	C3544321
C0152093	IS_A	C4225429
C5680372	parent-child	C2676032
C1291361	CAUSES	C0920641
C0030783	interacts with	C0029134
C0026552	associated with	C0007131
C0265292	expression present	C5561980
C0031350	parent-child	C0235270
C1319310	ASSOCIATED_WITH	C0470609
C2827491	ASSOCIATED_WITH	C1279088
C0016667	expression present	C0043167
C0242490	parent-child	C0158316
C0939574	ASSOCIATED_WITH	C0743496
C0244713	TREATS	C0338475
C0022387	interacts with	C0001344
C0026705	expression present	C0005461
C0282207	expression present	C1332243
C0400923	parent-child	C0345907
C0040963	expression present	C3266843
C0006309	expression absent	C1302995
C0001815	parent-child	C2931351
C5680196	ppi	C0042900
C0018923	parent-child	C4551687
C0028860	expression present	C0013533
C0265492	expression present	C0238117
C0345217	parent-child	C4552002
C3839148	parent-child	C0334533
