# Entity	CUI_Code	Source
0 4 1  of pregnancies	C6303765_enty	NOT_FOUND
0 5 2 hours	C1780148_enty	NOT_FOUND
1 03	C6494779_enty	NOT_FOUND
1 1 4 hours	C3783105_enty	NOT_FOUND
1 1 5	C2284671_enty	NOT_FOUND
1 10 000 to 1 50 000 live births	C8327210_enty	NOT_FOUND
1 100 000	C9622560_enty	NOT_FOUND
1 1000 to 1 2000 births	C9882601_enty	NOT_FOUND
1 1000000 individuals worldwide	C7510785_enty	NOT_FOUND
1 2 2 hours	C2052463_enty	NOT_FOUND
1 2 cases per million	C6038088_enzy	NOT_FOUND
1 2 hours	C4668568_enty	NOT_FOUND
1 20 000 to 1 50 000 live births	C6311552_enty	NOT_FOUND
1 2500 live births	C8665205_enty	NOT_FOUND
1 3 1 7 hours	C3687221_enty	NOT_FOUND
1 3 hours	C8685594_enty	NOT_FOUND
1 4 hours	C5648332_enty	NOT_FOUND
1 5 10 000 births	C8260122_enty	NOT_FOUND
1 5 hours	C9109031_enty	NOT_FOUND
1 5 individuals per 10 000	C3598568_enty	NOT_FOUND
1 5 to 7 years	C0261428_enty	NOT_FOUND
1 50 000 births	C1789038_enty	NOT_FOUND
1 50 000 individuals worldwide	C1083956_enty	NOT_FOUND
1 50 000 live births	C1379478_enty	NOT_FOUND
1 6 000 births	C7642158_enty	NOT_FOUND
1 7 6 1 hours	C4205345_enty	NOT_FOUND
1 76	C4321082_enty	NOT_FOUND
1 8 hours	C9678703_enty	NOT_FOUND
1 9 individuals per million worldwide	C7310117_elmt	NOT_FOUND
1 9 per 100 000	C8016284_enty	NOT_FOUND
1 9 per 100 000 individuals	C3953162_enty	NOT_FOUND
1 9 per 100 000 live births	C5805675_enty	NOT_FOUND
1 9 per million individuals	C1536979_elmt	NOT_FOUND
1 adrenergic receptor	C6554024_aapp	NOT_FOUND
1 in 1 000 000	C7299271_enty	NOT_FOUND
1 in 1 000 000 individuals worldwide	C3266696_enty	NOT_FOUND
1 in 1 000 live births	C1697205_enty	NOT_FOUND
1 in 1 million	C7757469_elmt	NOT_FOUND
1 in 1 million individuals	C9864089_elmt	NOT_FOUND
1 in 10 000	C5231637_enty	NOT_FOUND
1 in 10 000 000 individuals worldwide	C8912629_enty	NOT_FOUND
1 in 10 000 births	C0372899_enty	NOT_FOUND
1 in 10 000 individuals	C3673515_enty	NOT_FOUND
1 in 10 000 individuals worldwide	C2642695_enty	NOT_FOUND
1 in 10 000 live births	C4988431_enty	NOT_FOUND
1 in 10 000 to 1 in 20 000 live births	C1845077_enty	NOT_FOUND
1 in 10 000 to 1 in 50 000 births	C8518256_enty	NOT_FOUND
1 in 10 000 to 1 in 50 000 individuals worldwide	C4391580_enty	NOT_FOUND
1 in 10 000 to 1 in 50 000 live births	C8243225_enty	NOT_FOUND
1 in 10 million individuals	C6721046_elmt	NOT_FOUND
1 in 100 000	C7533809_enty	NOT_FOUND
1 in 100 000 and 1 in 500 000	C6403889_enty	NOT_FOUND
1 in 100 000 births	C7153410_enty	NOT_FOUND
1 in 100 000 births worldwide	C2105876_enty	NOT_FOUND
1 in 100 000 individuals	C2620057_enty	NOT_FOUND
1 in 100 000 individuals worldwide	C2016293_enty	NOT_FOUND
1 in 100 000 live births	C2829633_enty	NOT_FOUND
1 in 100 000 people worldwide	C4402274_enty	NOT_FOUND
1 in 100 000 to 1 in 200 000 individuals	C3366844_enty	NOT_FOUND
1 in 100 000 to 1 in 200 000 live births	C5460195_enty	NOT_FOUND
1 in 100 000 to 1 in 50 000 individuals	C9189467_enty	NOT_FOUND
1 in 100 000 to 1 in 50 000 individuals worldwide	C0895851_enty	NOT_FOUND
1 in 100 000 to 1 in 500 000 births	C8703448_enty	NOT_FOUND
1 in 100 000 to 1 in 500 000 births worldwide	C5343077_enty	NOT_FOUND
1 in 100 000 to 1 in 500 000 individuals worldwide	C3233510_enty	NOT_FOUND
1 in 100 000 to 1 in 500 000 live births	C9737578_enty	NOT_FOUND
1 in 100 individuals worldwide	C6737711_enty	NOT_FOUND
1 in 100000 live births	C1447359_enty	NOT_FOUND
1 in 125 000 individuals	C1706791_enty	NOT_FOUND
1 in 15 000 individuals	C2914854_enty	NOT_FOUND
1 in 2 000 individuals	C9736666_enty	NOT_FOUND
1 in 2 000 individuals worldwide	C7405883_enty	NOT_FOUND
1 in 20 000 individuals	C9975419_enty	NOT_FOUND
1 in 20 000 individuals worldwide	C5387099_enty	NOT_FOUND
1 in 20 000 to 1 in 50 000 individuals worldwide	C0434332_enty	NOT_FOUND
1 in 200 000 individuals worldwide	C4697261_enty	NOT_FOUND
1 in 200 000 live births	C6668993_enty	NOT_FOUND
