head,relation_new,tail,relation_raw
C0373587,Taxonomy_IsA,C0682906,is a
C0373587,Etiology_AssociatedWith,C0014442,is essential for
C0373587,Etiology_AssociatedWith,C0404094,is used in
C0373587,PK_Absorption,C0962796,is absorbed via
C0373587,PK_Absorption,C0962796,is absorbed via
C0373587,PK_Absorption,C1420089,is absorbed via
C0373587,Etiology_AssociatedWith,C0962796,is bound to
C1412627,Etiology_AssociatedWith,C1412688,shuttles
C1412688,Anatomy_LocatedIn,C3896479,is located on
C0373587,Etiology_AssociatedWith,C0373573,is bound by
C0373587,Etiology_AssociatedWith,C0857541,is bound by
C0373587,Etiology_AssociatedWith,C1412046,is bound by
C0373587,Etiology_AssociatedWith,C0014440,is incorporated into
C4050211,MoA_ModulationOther,C5670367,reduces
C0373587,Regulatory_Status,C1171186,is approved for
C0373587,Regulatory_Status,C0456588,has been approved since
C0373587,Taxonomy_IsA,C0282575,is classified as part of
C0373587,Taxonomy_IsA,C0524146,is classified as part of
C0373587,Taxonomy_IsA,C0025552,is classified as part of
C0373587,Taxonomy_IsA,C2945766,is classified as part of
C0373587,Taxonomy_IsA,C1521739,is classified as part of
C0373587,Taxonomy_IsA,C0205463,is classified as part of
C0373587,Taxonomy_IsA,C0005329,is classified as part of
C0373587,Taxonomy_IsA,C1812630,is classified as part of
C0373587,Taxonomy_IsA,C0013879,is classified as part of
C0373587,Taxonomy_IsA,C0016452,is classified as part of
C0184633,Etiology_AssociatedWith,C0202292,is
C0184633,Etiology_AssociatedWith,C1737722,is used in
C1737722,Treatment_IndicationUse,C0013990,treats
C1737722,Treatment_IndicationUse,C0032285,treats
C1737722,Treatment_IndicationUse,C0742744,treats
C0184633,MoA_ModulationOther,C0374388,increases
C0184633,MoA_ModulationOther,C1999075,decreases
C0184633,Etiology_AssociatedWith,C0681779,is introduced under
C0184633,Etiology_AssociatedWith,C0021268,is introduced under
C0184633,MoA_BindingAffinity,C0008721,binds to
C0184633,Etiology_AssociatedWith,C0842271,improves
C0184633,Etiology_AssociatedWith,C1284821,affects
C0242706,Etiology_AssociatedWith,C1278440,is
C0184633,Etiology_AssociatedWith,C2711872,has a molecular weight of
C0184633,Taxonomy_PartOf,C0206763,is part of
C0184633,Taxonomy_PartOf,C0017110,is part of
C0184633,Regulatory_Status,C0205540,is approved and
C0993959,Taxonomy_IsA,C0443077,is a
C0993959,Etiology_AssociatedWith,C0718284,marketed as
C0993959,Etiology_AssociatedWith,C0721979,marketed as
C0993959,Treatment_IndicationUse,C1742716,used for
C0993959,MoA_ActivationInduction,C1841967,activates
C0993959,MoA_BindingAffinity,C0373730,binds to
C0993959,Etiology_AssociatedWith,C0103404,involves
C0443077,Etiology_AssociatedWith,C1305754,suppress
C1305754,Etiology_AssociatedWith,C1284831,is affected by
C0443077,MoA_ModulationOther,C0850992,reduce
C0443077,MoA_ModulationOther,C0009498,reduce
C0443077,Etiology_AssociatedWith,C0024312,precipitate
C0443077,MoA_ModulationOther,C1148575,interfere with
C0993959,Etiology_AssociatedWith,C0993596,administered as
C0993959,Etiology_AssociatedWith,C1273001,administered as
C0993959,MoA_ModulationOther,C0748413,reduces
C0993959,MoA_ModulationOther,C5848077,reduces
C0993959,MoA_ModulationOther,C4554643,reduces
C0993959,MoA_ModulationOther,C4553657,reduces
C0993959,MoA_ModulationOther,C2032140,reduces
C0993959,Taxonomy_MemberOf,C4521954,belongs to
C0993959,Taxonomy_MemberOf,C0740851,belongs to
C0993959,Taxonomy_MemberOf,C0282556,belongs to
C0993959,Taxonomy_MemberOf,C1373012,belongs to
C0993959,Taxonomy_MemberOf,C0443077,belongs to
C0360534,Taxonomy_IsA,C0744425,is a type of
C0360534,Treatment_IndicationUse,C0033774,is used for
C0360534,MoA_BindingAffinity,C0034795,binds to
C0360534,Regulatory_Status,C0587579,is approved for use in
C0360534,Taxonomy_MemberOf,C4521954,belongs to
C0360534,Taxonomy_MemberOf,C1373012,belongs to
C0360534,Taxonomy_MemberOf,C0443077,belongs to
C0360534,Treatment_IndicationUse,C0011615,is indicated for
C0360534,Treatment_IndicationUse,C0011616,is indicated for
C0360534,Treatment_IndicationUse,C0475858,is used to treat
C0360534,Taxonomy_IsA,C0456911,is a solid at
C0065865,Taxonomy_IsA,C4050091,is a
C0065865,Treatment_IndicationUse,C0339164,treats
C0065865,Treatment_IndicationUse,C0009763,treats
C0065865,Treatment_IndicationUse,C0014583,treats
C0065865,Treatment_IndicationUse,C1372321,treats
C0065865,MoA_ActivationInduction,C1152581,induces
C1152581,Etiology_AssociatedWith,C0243042,regulate
C0065865,MoA_InhibitionBlockade,C0013604,inhibits
C0065865,MoA_InhibitionBlockade,C0333565,inhibits
C0065865,MoA_InhibitionBlockade,C0031308,inhibits
C0065865,MoA_InhibitionBlockade,C0332975,inhibits
C0065865,MoA_InhibitionBlockade,C3686827,inhibits
C0065865,Taxonomy_MemberOf,C4521954,belongs to
C0065865,Taxonomy_MemberOf,C1373012,belongs to
C0065865,Taxonomy_MemberOf,C0443077,belongs to
C0065865,Etiology_AssociatedWith,C3639999,has a molecular weight of
C0065865,Regulatory_Status,C1273853,is approved for use in
C0724587,Taxonomy_IsA,C0744425,is a type of
C0724587,Etiology_AssociatedWith,C0015399,is employed as
C0724587,Treatment_IndicationUse,C1622731,treats
C0724587,Etiology_AssociatedWith,C1321533,targets
C0724587,Etiology_AssociatedWith,C0010031,targets
C0724587,Treatment_IndicationUse,C0037274,is used in the treatment of
C0724587,MoA_ActivationInduction,C1152581,induces
C1152581,Etiology_AssociatedWith,C0103404,are collectively called
C0103404,Etiology_AssociatedWith,C0033555,control the biosynthesis of
C0103404,Etiology_AssociatedWith,C0520496,control the biosynthesis of
C0520496,Taxonomy_DerivedFrom,C0299417,are derived from
C1841967,MoA_BindingAffinity,C0162326,binds to
C0724587,DrugClass_Category,C0443077,belongs to the category of
C0724587,Etiology_AssociatedWith,C1706842,is
C0724587,Etiology_AssociatedWith,C4688482,is
C0795584,Taxonomy_IsA,C0596387,is a
C0795584,PK_Metabolism,C0081729,is a prodrug of
C0795584,Taxonomy_VariantOf,C0004906,is structurally similar to
C0795584,Etiology_AssociatedWith,C0991535,is available in formulations for
C0795584,Etiology_AssociatedWith,C1522019,is available in formulations for
C0795584,Etiology_AssociatedWith,C0332237,is available in formulations for
C0795584,Etiology_AssociatedWith,C1272273,is useful in treating
C0795584,Etiology_AssociatedWith,C0011627,is useful in treating
C0795584,MoA_ModulationOther,C0749224,works by attenuating
C0795584,MoA_InhibitionBlockade,C0302158,suppresses the actions of
C0795584,Regulatory_Status,C3540763,has approval status
C0750848,Taxonomy_IsA,C3653474,is a
C0750848,Etiology_AssociatedWith,C0085393,has
C0750848,Treatment_IndicationUse,C0439706,can be used to manage
C0750848,MoA_InhibitionBlockade,C0079904,inhibits
