head,relation,tail
C0373587,Taxonomy_IsA,C0682906
C0373587,Etiology_AssociatedWith,C0014442
C0373587,Etiology_AssociatedWith,C0404094
C0373587,PK_Absorption,C0962796
C0373587,PK_Absorption,C0962796
C0373587,PK_Absorption,C1420089
C0373587,Etiology_AssociatedWith,C0962796
C1412627,Etiology_AssociatedWith,C1412688
C1412688,Anatomy_LocatedIn,C3896479
C0373587,Etiology_AssociatedWith,C0373573
C0373587,Etiology_AssociatedWith,C0857541
C0373587,Etiology_AssociatedWith,C1412046
C0373587,Etiology_AssociatedWith,C0014440
C4050211,MoA_ModulationOther,C5670367
C0373587,Regulatory_Status,C1171186
C0373587,Regulatory_Status,C0456588
C0373587,Taxonomy_IsA,C0282575
C0373587,Taxonomy_IsA,C0524146
C0373587,Taxonomy_IsA,C0025552
C0373587,Taxonomy_IsA,C2945766
C0373587,Taxonomy_IsA,C1521739
C0373587,Taxonomy_IsA,C0205463
C0373587,Taxonomy_IsA,C0005329
C0373587,Taxonomy_IsA,C1812630
C0373587,Taxonomy_IsA,C0013879
C0373587,Taxonomy_IsA,C0016452
C0184633,Etiology_AssociatedWith,C0202292
C0184633,Etiology_AssociatedWith,C1737722
C1737722,Treatment_IndicationUse,C0013990
C1737722,Treatment_IndicationUse,C0032285
C1737722,Treatment_IndicationUse,C0742744
C0184633,MoA_ModulationOther,C0374388
C0184633,MoA_ModulationOther,C1999075
C0184633,Etiology_AssociatedWith,C0681779
C0184633,Etiology_AssociatedWith,C0021268
C0184633,MoA_BindingAffinity,C0008721
C0184633,Etiology_AssociatedWith,C0842271
C0184633,Etiology_AssociatedWith,C1284821
C0242706,Etiology_AssociatedWith,C1278440
C0184633,Etiology_AssociatedWith,C2711872
C0184633,Taxonomy_PartOf,C0206763
C0184633,Taxonomy_PartOf,C0017110
C0184633,Regulatory_Status,C0205540
C0993959,Taxonomy_IsA,C0443077
C0993959,Etiology_AssociatedWith,C0718284
C0993959,Etiology_AssociatedWith,C0721979
C0993959,Treatment_IndicationUse,C1742716
C0993959,MoA_ActivationInduction,C1841967
C0993959,MoA_BindingAffinity,C0373730
C0993959,Etiology_AssociatedWith,C0103404
C0443077,Etiology_AssociatedWith,C1305754
C1305754,Etiology_AssociatedWith,C1284831
C0443077,MoA_ModulationOther,C0850992
C0443077,MoA_ModulationOther,C0009498
C0443077,Etiology_AssociatedWith,C0024312
C0443077,MoA_ModulationOther,C1148575
C0993959,Etiology_AssociatedWith,C0993596
C0993959,Etiology_AssociatedWith,C1273001
C0993959,MoA_ModulationOther,C0748413
C0993959,MoA_ModulationOther,C5848077
C0993959,MoA_ModulationOther,C4554643
C0993959,MoA_ModulationOther,C4553657
C0993959,MoA_ModulationOther,C2032140
C0993959,Taxonomy_MemberOf,C4521954
C0993959,Taxonomy_MemberOf,C0740851
C0993959,Taxonomy_MemberOf,C0282556
C0993959,Taxonomy_MemberOf,C1373012
C0993959,Taxonomy_MemberOf,C0443077
C0360534,Taxonomy_IsA,C0744425
C0360534,Treatment_IndicationUse,C0033774
C0360534,MoA_BindingAffinity,C0034795
C0360534,Regulatory_Status,C0587579
C0360534,Taxonomy_MemberOf,C4521954
C0360534,Taxonomy_MemberOf,C1373012
C0360534,Taxonomy_MemberOf,C0443077
C0360534,Treatment_IndicationUse,C0011615
C0360534,Treatment_IndicationUse,C0011616
C0360534,Treatment_IndicationUse,C0475858
C0360534,Taxonomy_IsA,C0456911
C0065865,Taxonomy_IsA,C4050091
C0065865,Treatment_IndicationUse,C0339164
C0065865,Treatment_IndicationUse,C0009763
C0065865,Treatment_IndicationUse,C0014583
C0065865,Treatment_IndicationUse,C1372321
C0065865,MoA_ActivationInduction,C1152581
C1152581,Etiology_AssociatedWith,C0243042
C0065865,MoA_InhibitionBlockade,C0013604
C0065865,MoA_InhibitionBlockade,C0333565
C0065865,MoA_InhibitionBlockade,C0031308
C0065865,MoA_InhibitionBlockade,C0332975
C0065865,MoA_InhibitionBlockade,C3686827
C0065865,Taxonomy_MemberOf,C4521954
